"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,3135428,-478194,874921,-1353115
12,3656231,-82542,918890,-1001432
13,4225888,363196,958724,-595528
14,4730816,-279578,2088903,-2366426
15,6610523,1474997,2113737,-638740
16,7275883,2017412,2138571,-121159
17,7824518,2447172,2169209,278990
18,10650565,4506638,2735910,1770728
19,11954627,5680667,2779552,2901115
20,13427423,7033906,3023839,4010067
21,14244985,5934713,3953187,1983581
22,16499826,5828905,5437755,392177
23,20499058,9557004,5476757,4080247
24,21426493,10283251,5515072,4768179
25,22314468,10189695,6448225,3743525
26,24359848,12009173,6487604,5521569
27,25364561,10880880,9039088,1843847
28,28650581,12714305,10365983,2348322
29,31141142,14973165,10404307,4568858
30,32032093,15366708,10811076,4555632
31,34399827,17558990,10899965,6659025
32,35471025,17122516,12525663,4596853
33,43185577,23666850,12567737,11099113
34,49575391,28329151,13286109,15043042
35,57174079,34775683,13344400,21431283
36,58876482,36300771,13385852,22914919
37,60038791,36240733,13968418,22272315
38,61190876,36054449,15198700,20855749
39,63738465,38416378,15282080,23134298
40,66232131,40747426,15376611,25370815
